State,Time,Utilization
Processing,0.000000,0.733677
Busy,0.000000,0.733677
Generating,0.000000,0.733677
Collecting,0.000000,0.733677
Releasing,0.000000,0.733677
Parking,150580.000000,0.733677
Conveying,0.000000,0.733677
Travel empty,1230082.809813,0.733677
Travel loaded,1553880.249912,0.733677
Offset travel empty,0.000000,0.733677
Offset travel loaded,0.000000,0.733677
Loading,751407.855362,0.733677
Unloading,751324.691030,0.733677
Setup,0.000000,0.733677
Utilize,0.000000,0.733677
Full,0.000000,0.733677
Not empty,0.000000,0.733677
Filling,0.000000,0.733677
Mixing,0.000000,0.733677
Flowing,0.000000,0.733677
Allocated idle,0.000000,0.733677
Change over,0.000000,0.733677
Preprocessing,0.000000,0.733677
Postprocessing,0.000000,0.733677
Inspecting,0.000000,0.733677
Operating,0.000000,0.733677
Purging,0.000000,0.733677
Cleaning,0.000000,0.733677
Accelerating,0.000000,0.733677
Maxspeed,0.000000,0.733677
Decelerating,0.000000,0.733677
Accumulating,0.000000,0.733677
Idle,518208.651653,0.733677
Blocked,1092515.742229,0.733677
Empty,0.000000,0.733677
Waiting for transporter,0.000000,0.733677
Breakdown,0.000000,0.733677
Down,0.000000,0.733677
Starved,0.000000,0.733677
Repair,0.000000,0.733677
Maintenance,0.000000,0.733677
Lunch,0.000000,0.733677
On break,0.000000,0.733677
Suspend,0.000000,0.733677
Available,0.000000,0.733677
Standby,0.000000,0.733677
Stopped,0.000000,0.733677
Waiting,0.000000,0.733677
