State,Time,Utilization
Processing,0.000000,0.923068
Busy,0.000000,0.923068
Generating,0.000000,0.923068
Collecting,0.000000,0.923068
Releasing,0.000000,0.923068
Parking,730.000000,0.923068
Conveying,0.000000,0.923068
Travel empty,589222.100939,0.923068
Travel loaded,1018674.790630,0.923068
Offset travel empty,0.000000,0.923068
Offset travel loaded,0.000000,0.923068
Loading,591380.000000,0.923068
Unloading,591349.353427,0.923068
Setup,0.000000,0.923068
Utilize,0.000000,0.923068
Full,0.000000,0.923068
Not empty,0.000000,0.923068
Filling,0.000000,0.923068
Mixing,0.000000,0.923068
Flowing,0.000000,0.923068
Allocated idle,0.000000,0.923068
Change over,0.000000,0.923068
Preprocessing,0.000000,0.923068
Postprocessing,0.000000,0.923068
Inspecting,0.000000,0.923068
Operating,0.000000,0.923068
Purging,0.000000,0.923068
Cleaning,0.000000,0.923068
Accelerating,0.000000,0.923068
Maxspeed,0.000000,0.923068
Decelerating,0.000000,0.923068
Accumulating,0.000000,0.923068
Idle,67930.336118,0.923068
Blocked,164713.418887,0.923068
Empty,0.000000,0.923068
Waiting for transporter,0.000000,0.923068
Breakdown,0.000000,0.923068
Down,0.000000,0.923068
Starved,0.000000,0.923068
Repair,0.000000,0.923068
Maintenance,0.000000,0.923068
Lunch,0.000000,0.923068
On break,0.000000,0.923068
Suspend,0.000000,0.923068
Available,0.000000,0.923068
Standby,0.000000,0.923068
Stopped,0.000000,0.923068
Waiting,0.000000,0.923068
