State,Time,Utilization
Processing,0.000000,0.698661
Busy,0.000000,0.698661
Generating,0.000000,0.698661
Collecting,0.000000,0.698661
Releasing,0.000000,0.698661
Parking,889569.292944,0.698661
Conveying,0.000000,0.698661
Travel empty,2235540.888405,0.698661
Travel loaded,2071377.108843,0.698661
Offset travel empty,0.000000,0.698661
Offset travel loaded,0.000000,0.698661
Loading,570900.000000,0.698661
Unloading,570862.861151,0.698661
Setup,0.000000,0.698661
Utilize,0.000000,0.698661
Full,0.000000,0.698661
Not empty,0.000000,0.698661
Filling,0.000000,0.698661
Mixing,0.000000,0.698661
Flowing,0.000000,0.698661
Allocated idle,0.000000,0.698661
Change over,0.000000,0.698661
Preprocessing,0.000000,0.698661
Postprocessing,0.000000,0.698661
Inspecting,0.000000,0.698661
Operating,0.000000,0.698661
Purging,0.000000,0.698661
Cleaning,0.000000,0.698661
Accelerating,0.000000,0.698661
Maxspeed,0.000000,0.698661
Decelerating,0.000000,0.698661
Accumulating,0.000000,0.698661
Idle,1641267.218410,0.698661
Blocked,1092482.630248,0.698661
Empty,0.000000,0.698661
Waiting for transporter,0.000000,0.698661
Breakdown,0.000000,0.698661
Down,0.000000,0.698661
Starved,0.000000,0.698661
Repair,0.000000,0.698661
Maintenance,0.000000,0.698661
Lunch,0.000000,0.698661
On break,0.000000,0.698661
Suspend,0.000000,0.698661
Available,0.000000,0.698661
Standby,0.000000,0.698661
Stopped,0.000000,0.698661
Waiting,0.000000,0.698661
