Object,State,Time,Utilization
TaskExecuter1,Processing,0.000000,0.597803
TaskExecuter1,Busy,0.000000,0.597803
TaskExecuter1,Generating,0.000000,0.597803
TaskExecuter1,Collecting,0.000000,0.597803
TaskExecuter1,Releasing,0.000000,0.597803
TaskExecuter1,Parking,18090.000000,0.597803
TaskExecuter1,Conveying,0.000000,0.597803
TaskExecuter1,Travel empty,79752.268848,0.597803
TaskExecuter1,Travel loaded,114229.017514,0.597803
TaskExecuter1,Offset travel empty,0.000000,0.597803
TaskExecuter1,Offset travel loaded,0.000000,0.597803
TaskExecuter1,Loading,74740.000000,0.597803
TaskExecuter1,Unloading,74740.000000,0.597803
TaskExecuter1,Setup,0.000000,0.597803
TaskExecuter1,Utilize,0.000000,0.597803
TaskExecuter1,Full,0.000000,0.597803
TaskExecuter1,Not empty,0.000000,0.597803
TaskExecuter1,Filling,0.000000,0.597803
TaskExecuter1,Mixing,0.000000,0.597803
TaskExecuter1,Flowing,0.000000,0.597803
TaskExecuter1,Allocated idle,0.000000,0.597803
TaskExecuter1,Change over,0.000000,0.597803
TaskExecuter1,Preprocessing,0.000000,0.597803
TaskExecuter1,Postprocessing,0.000000,0.597803
TaskExecuter1,Inspecting,0.000000,0.597803
TaskExecuter1,Operating,0.000000,0.597803
TaskExecuter1,Purging,0.000000,0.597803
TaskExecuter1,Cleaning,0.000000,0.597803
TaskExecuter1,Accelerating,0.000000,0.597803
TaskExecuter1,Maxspeed,0.000000,0.597803
TaskExecuter1,Decelerating,0.000000,0.597803
TaskExecuter1,Accumulating,0.000000,0.597803
TaskExecuter1,Idle,56040.004299,0.597803
TaskExecuter1,Blocked,187208.709338,0.597803
TaskExecuter1,Empty,0.000000,0.597803
TaskExecuter1,Waiting for transporter,0.000000,0.597803
TaskExecuter1,Breakdown,0.000000,0.597803
TaskExecuter1,Down,0.000000,0.597803
TaskExecuter1,Starved,0.000000,0.597803
TaskExecuter1,Repair,0.000000,0.597803
TaskExecuter1,Maintenance,0.000000,0.597803
TaskExecuter1,Lunch,0.000000,0.597803
TaskExecuter1,On break,0.000000,0.597803
TaskExecuter1,Suspend,0.000000,0.597803
TaskExecuter1,Available,0.000000,0.597803
TaskExecuter1,Standby,0.000000,0.597803
TaskExecuter1,Stopped,0.000000,0.597803
TaskExecuter1,Waiting,0.000000,0.597803
TaskExecuter2,Processing,0.000000,0.618245
TaskExecuter2,Busy,0.000000,0.618245
TaskExecuter2,Generating,0.000000,0.618245
TaskExecuter2,Collecting,0.000000,0.618245
TaskExecuter2,Releasing,0.000000,0.618245
TaskExecuter2,Parking,20510.000000,0.618245
TaskExecuter2,Conveying,0.000000,0.618245
TaskExecuter2,Travel empty,82656.026211,0.618245
TaskExecuter2,Travel loaded,116888.535643,0.618245
TaskExecuter2,Offset travel empty,0.000000,0.618245
TaskExecuter2,Offset travel loaded,0.000000,0.618245
TaskExecuter2,Loading,76930.000000,0.618245
TaskExecuter2,Unloading,76930.000000,0.618245
TaskExecuter2,Setup,0.000000,0.618245
TaskExecuter2,Utilize,0.000000,0.618245
TaskExecuter2,Full,0.000000,0.618245
TaskExecuter2,Not empty,0.000000,0.618245
TaskExecuter2,Filling,0.000000,0.618245
TaskExecuter2,Mixing,0.000000,0.618245
TaskExecuter2,Flowing,0.000000,0.618245
TaskExecuter2,Allocated idle,0.000000,0.618245
TaskExecuter2,Change over,0.000000,0.618245
TaskExecuter2,Preprocessing,0.000000,0.618245
TaskExecuter2,Postprocessing,0.000000,0.618245
TaskExecuter2,Inspecting,0.000000,0.618245
TaskExecuter2,Operating,0.000000,0.618245
TaskExecuter2,Purging,0.000000,0.618245
TaskExecuter2,Cleaning,0.000000,0.618245
TaskExecuter2,Accelerating,0.000000,0.618245
TaskExecuter2,Maxspeed,0.000000,0.618245
TaskExecuter2,Decelerating,0.000000,0.618245
TaskExecuter2,Accumulating,0.000000,0.618245
TaskExecuter2,Idle,55028.196188,0.618245
TaskExecuter2,Blocked,175857.241958,0.618245
TaskExecuter2,Empty,0.000000,0.618245
TaskExecuter2,Waiting for transporter,0.000000,0.618245
TaskExecuter2,Breakdown,0.000000,0.618245
TaskExecuter2,Down,0.000000,0.618245
TaskExecuter2,Starved,0.000000,0.618245
TaskExecuter2,Repair,0.000000,0.618245
TaskExecuter2,Maintenance,0.000000,0.618245
TaskExecuter2,Lunch,0.000000,0.618245
TaskExecuter2,On break,0.000000,0.618245
TaskExecuter2,Suspend,0.000000,0.618245
TaskExecuter2,Available,0.000000,0.618245
TaskExecuter2,Standby,0.000000,0.618245
TaskExecuter2,Stopped,0.000000,0.618245
TaskExecuter2,Waiting,0.000000,0.618245
TaskExecuter3,Processing,0.000000,0.611585
TaskExecuter3,Busy,0.000000,0.611585
TaskExecuter3,Generating,0.000000,0.611585
TaskExecuter3,Collecting,0.000000,0.611585
TaskExecuter3,Releasing,0.000000,0.611585
TaskExecuter3,Parking,21900.000000,0.611585
TaskExecuter3,Conveying,0.000000,0.611585
TaskExecuter3,Travel empty,84098.617469,0.611585
TaskExecuter3,Travel loaded,114667.994279,0.611585
TaskExecuter3,Offset travel empty,0.000000,0.611585
TaskExecuter3,Offset travel loaded,0.000000,0.611585
TaskExecuter3,Loading,74610.000000,0.611585
TaskExecuter3,Unloading,74610.000000,0.611585
TaskExecuter3,Setup,0.000000,0.611585
TaskExecuter3,Utilize,0.000000,0.611585
