State,Time,Utilization
Processing,0.000000,0.571936
Busy,0.000000,0.571936
Generating,0.000000,0.571936
Collecting,0.000000,0.571936
Releasing,0.000000,0.571936
Conveying,0.000000,0.571936
Travel empty,814754.418665,0.571936
Travel loaded,1142143.498896,0.571936
Offset travel empty,0.000000,0.571936
Offset travel loaded,0.000000,0.571936
Loading,751146.839419,0.571936
Unloading,751022.957014,0.571936
Setup,0.000000,0.571936
Utilize,0.000000,0.571936
Full,0.000000,0.571936
Not empty,0.000000,0.571936
Filling,0.000000,0.571936
Mixing,0.000000,0.571936
Flowing,0.000000,0.571936
Allocated idle,0.000000,0.571936
Change over,0.000000,0.571936
Preprocessing,0.000000,0.571936
Postprocessing,0.000000,0.571936
Inspecting,0.000000,0.571936
Operating,0.000000,0.571936
Purging,0.000000,0.571936
Cleaning,0.000000,0.571936
Accelerating,0.000000,0.571936
Maxspeed,0.000000,0.571936
Decelerating,0.000000,0.571936
Accumulating,0.000000,0.571936
Idle,558902.714118,0.571936
Blocked,1830389.571889,0.571936
Empty,0.000000,0.571936
Waiting for operator,199640.000000,0.571936
Waiting for transporter,0.000000,0.571936
Breakdown,0.000000,0.571936
Down,0.000000,0.571936
Starved,0.000000,0.571936
Repair,0.000000,0.571936
Maintenance,0.000000,0.571936
Lunch,0.000000,0.571936
On break,0.000000,0.571936
Suspend,0.000000,0.571936
Available,0.000000,0.571936
Standby,0.000000,0.571936
Stopped,0.000000,0.571936
Waiting,0.000000,0.571936
