State,Time,Utilization
Processing,0.000000,0.855363
Busy,0.000000,0.855363
Generating,0.000000,0.855363
Collecting,0.000000,0.855363
Releasing,0.000000,0.855363
Conveying,0.000000,0.855363
Travel empty,1014572.458977,0.855363
Travel loaded,930276.398184,0.855363
Offset travel empty,0.000000,0.855363
Offset travel loaded,0.000000,0.855363
Loading,320900.000000,0.855363
Unloading,320870.000000,0.855363
Setup,0.000000,0.855363
Utilize,0.000000,0.855363
Full,0.000000,0.855363
Not empty,0.000000,0.855363
Filling,0.000000,0.855363
Mixing,0.000000,0.855363
Flowing,0.000000,0.855363
Allocated idle,0.000000,0.855363
Change over,0.000000,0.855363
Preprocessing,0.000000,0.855363
Postprocessing,0.000000,0.855363
Inspecting,0.000000,0.855363
Operating,0.000000,0.855363
Purging,0.000000,0.855363
Cleaning,0.000000,0.855363
Accelerating,0.000000,0.855363
Maxspeed,0.000000,0.855363
Decelerating,0.000000,0.855363
Accumulating,0.000000,0.855363
Idle,14260.014167,0.855363
Blocked,34021.128672,0.855363
Empty,0.000000,0.855363
Waiting for operator,389100.000000,0.855363
Waiting for transporter,0.000000,0.855363
Breakdown,0.000000,0.855363
Down,0.000000,0.855363
Starved,0.000000,0.855363
Repair,0.000000,0.855363
Maintenance,0.000000,0.855363
Lunch,0.000000,0.855363
On break,0.000000,0.855363
Suspend,0.000000,0.855363
Available,0.000000,0.855363
Standby,0.000000,0.855363
Stopped,0.000000,0.855363
Waiting,0.000000,0.855363
