State,Time,Utilization
Processing,0.000000,0.887173
Busy,0.000000,0.887173
Generating,0.000000,0.887173
Collecting,0.000000,0.887173
Releasing,0.000000,0.887173
Conveying,0.000000,0.887173
Travel empty,1077415.677867,0.887173
Travel loaded,1031429.221816,0.887173
Offset travel empty,0.000000,0.887173
Offset travel loaded,0.000000,0.887173
Loading,286990.000000,0.887173
Unloading,286975.250851,0.887173
Setup,0.000000,0.887173
Utilize,0.000000,0.887173
Full,0.000000,0.887173
Not empty,0.000000,0.887173
Filling,0.000000,0.887173
Mixing,0.000000,0.887173
Flowing,0.000000,0.887173
Allocated idle,0.000000,0.887173
Change over,0.000000,0.887173
Preprocessing,0.000000,0.887173
Postprocessing,0.000000,0.887173
Inspecting,0.000000,0.887173
Operating,0.000000,0.887173
Purging,0.000000,0.887173
Cleaning,0.000000,0.887173
Accelerating,0.000000,0.887173
Maxspeed,0.000000,0.887173
Decelerating,0.000000,0.887173
Accumulating,0.000000,0.887173
Idle,22876.475681,0.887173
Blocked,24213.373785,0.887173
Empty,0.000000,0.887173
Waiting for operator,294100.000000,0.887173
Waiting for transporter,0.000000,0.887173
Breakdown,0.000000,0.887173
Down,0.000000,0.887173
Starved,0.000000,0.887173
Repair,0.000000,0.887173
Maintenance,0.000000,0.887173
Lunch,0.000000,0.887173
On break,0.000000,0.887173
Suspend,0.000000,0.887173
Available,0.000000,0.887173
Standby,0.000000,0.887173
Stopped,0.000000,0.887173
Waiting,0.000000,0.887173
