State,Time,Utilization
Processing,0.000000,0.969973
Busy,0.000000,0.969973
Generating,0.000000,0.969973
Collecting,0.000000,0.969973
Releasing,0.000000,0.969973
Conveying,0.000000,0.969973
Travel empty,1149889.767260,0.969973
Travel loaded,1131605.296025,0.969973
Offset travel empty,0.000000,0.969973
Offset travel loaded,0.000000,0.969973
Loading,325861.784405,0.969973
Unloading,325840.000000,0.969973
Setup,0.000000,0.969973
Utilize,0.000000,0.969973
Full,0.000000,0.969973
Not empty,0.000000,0.969973
Filling,0.000000,0.969973
Mixing,0.000000,0.969973
Flowing,0.000000,0.969973
Allocated idle,0.000000,0.969973
Change over,0.000000,0.969973
Preprocessing,0.000000,0.969973
Postprocessing,0.000000,0.969973
Inspecting,0.000000,0.969973
Operating,0.000000,0.969973
Purging,0.000000,0.969973
Cleaning,0.000000,0.969973
Accelerating,0.000000,0.969973
Maxspeed,0.000000,0.969973
Decelerating,0.000000,0.969973
Accumulating,0.000000,0.969973
Idle,32941.472734,0.969973
Blocked,57831.679576,0.969973
Empty,0.000000,0.969973
Waiting for operator,30.000000,0.969973
Waiting for transporter,0.000000,0.969973
Breakdown,0.000000,0.969973
Down,0.000000,0.969973
Starved,0.000000,0.969973
Repair,0.000000,0.969973
Maintenance,0.000000,0.969973
Lunch,0.000000,0.969973
On break,0.000000,0.969973
Suspend,0.000000,0.969973
Available,0.000000,0.969973
Standby,0.000000,0.969973
Stopped,0.000000,0.969973
Waiting,0.000000,0.969973
