State,Time,Utilization
Processing,0.000000,0.947691
Busy,0.000000,0.947691
Generating,0.000000,0.947691
Collecting,0.000000,0.947691
Releasing,0.000000,0.947691
Parking,99000.000000,0.947691
Conveying,0.000000,0.947691
Travel empty,628403.402914,0.947691
Travel loaded,997944.037677,0.947691
Offset travel empty,0.000000,0.947691
Offset travel loaded,0.000000,0.947691
Loading,570283.646360,0.947691
Unloading,570187.520540,0.947691
Setup,0.000000,0.947691
Utilize,0.000000,0.947691
Full,0.000000,0.947691
Not empty,0.000000,0.947691
Filling,0.000000,0.947691
Mixing,0.000000,0.947691
Flowing,0.000000,0.947691
Allocated idle,0.000000,0.947691
Change over,0.000000,0.947691
Preprocessing,0.000000,0.947691
Postprocessing,0.000000,0.947691
Inspecting,0.000000,0.947691
Operating,0.000000,0.947691
Purging,0.000000,0.947691
Cleaning,0.000000,0.947691
Accelerating,0.000000,0.947691
Maxspeed,0.000000,0.947691
Decelerating,0.000000,0.947691
Accumulating,0.000000,0.947691
Idle,86339.769606,0.947691
Blocked,71841.622903,0.947691
Empty,0.000000,0.947691
Waiting for transporter,0.000000,0.947691
Breakdown,0.000000,0.947691
Down,0.000000,0.947691
Starved,0.000000,0.947691
Repair,0.000000,0.947691
Maintenance,0.000000,0.947691
Lunch,0.000000,0.947691
On break,0.000000,0.947691
Suspend,0.000000,0.947691
Available,0.000000,0.947691
Standby,0.000000,0.947691
Stopped,0.000000,0.947691
Waiting,0.000000,0.947691
