State,Time,Utilization
Processing,0.000000,0.914953
Busy,0.000000,0.914953
Generating,0.000000,0.914953
Collecting,0.000000,0.914953
Releasing,0.000000,0.914953
Conveying,0.000000,0.914953
Travel empty,628403.402914,0.914953
Travel loaded,997944.037677,0.914953
Offset travel empty,0.000000,0.914953
Offset travel loaded,0.000000,0.914953
Loading,570283.646360,0.914953
Unloading,570187.520540,0.914953
Setup,0.000000,0.914953
Utilize,0.000000,0.914953
Full,0.000000,0.914953
Not empty,0.000000,0.914953
Filling,0.000000,0.914953
Mixing,0.000000,0.914953
Flowing,0.000000,0.914953
Allocated idle,0.000000,0.914953
Change over,0.000000,0.914953
Preprocessing,0.000000,0.914953
Postprocessing,0.000000,0.914953
Inspecting,0.000000,0.914953
Operating,0.000000,0.914953
Purging,0.000000,0.914953
Cleaning,0.000000,0.914953
Accelerating,0.000000,0.914953
Maxspeed,0.000000,0.914953
Decelerating,0.000000,0.914953
Accumulating,0.000000,0.914953
Idle,86339.769606,0.914953
Blocked,71841.622903,0.914953
Empty,0.000000,0.914953
Waiting for operator,99000.000000,0.914953
Waiting for transporter,0.000000,0.914953
Breakdown,0.000000,0.914953
Down,0.000000,0.914953
Starved,0.000000,0.914953
Repair,0.000000,0.914953
Maintenance,0.000000,0.914953
Lunch,0.000000,0.914953
On break,0.000000,0.914953
Suspend,0.000000,0.914953
Available,0.000000,0.914953
Standby,0.000000,0.914953
Stopped,0.000000,0.914953
Waiting,0.000000,0.914953
