State,Time,Utilization
Processing,0.000000,0.611347
Busy,0.000000,0.611347
Generating,0.000000,0.611347
Collecting,0.000000,0.611347
Releasing,0.000000,0.611347
Conveying,0.000000,0.611347
Travel empty,1361026.321638,0.611347
Travel loaded,2112817.874464,0.611347
Offset travel empty,0.000000,0.611347
Offset travel loaded,0.000000,0.611347
Loading,1036188.527285,0.611347
Unloading,1036107.629102,0.611347
Setup,0.000000,0.611347
Utilize,0.000000,0.611347
Full,0.000000,0.611347
Not empty,0.000000,0.611347
Filling,0.000000,0.611347
Mixing,0.000000,0.611347
Flowing,0.000000,0.611347
Allocated idle,0.000000,0.611347
Change over,0.000000,0.611347
Preprocessing,0.000000,0.611347
Postprocessing,0.000000,0.611347
Inspecting,0.000000,0.611347
Operating,0.000000,0.611347
Purging,0.000000,0.611347
Cleaning,0.000000,0.611347
Accelerating,0.000000,0.611347
Maxspeed,0.000000,0.611347
Decelerating,0.000000,0.611347
Accumulating,0.000000,0.611347
Idle,849337.060132,0.611347
Blocked,2676512.587379,0.611347
Empty,0.000000,0.611347
Waiting for operator,10.000000,0.611347
Waiting for transporter,0.000000,0.611347
Breakdown,0.000000,0.611347
Down,0.000000,0.611347
Starved,0.000000,0.611347
Repair,0.000000,0.611347
Maintenance,0.000000,0.611347
Lunch,0.000000,0.611347
On break,0.000000,0.611347
Suspend,0.000000,0.611347
Available,0.000000,0.611347
Standby,0.000000,0.611347
Stopped,0.000000,0.611347
Waiting,0.000000,0.611347
