State,Time,Utilization
Processing,0.000000,0.587237
Busy,0.000000,0.587237
Generating,0.000000,0.587237
Collecting,0.000000,0.587237
Releasing,0.000000,0.587237
Parking,0.000000,0.587237
Conveying,0.000000,0.587237
Travel empty,822958.257619,0.587237
Travel loaded,1996603.229802,0.587237
Offset travel empty,0.000000,0.587237
Offset travel loaded,0.000000,0.587237
Loading,1254034.452982,0.587237
Unloading,1253816.959245,0.587237
Setup,0.000000,0.587237
Utilize,0.000000,0.587237
Full,0.000000,0.587237
Not empty,0.000000,0.587237
Filling,0.000000,0.587237
Mixing,0.000000,0.587237
Flowing,0.000000,0.587237
Allocated idle,0.000000,0.587237
Change over,0.000000,0.587237
Preprocessing,0.000000,0.587237
Postprocessing,0.000000,0.587237
Inspecting,0.000000,0.587237
Operating,0.000000,0.587237
Purging,0.000000,0.587237
Cleaning,0.000000,0.587237
Accelerating,0.000000,0.587237
Maxspeed,0.000000,0.587237
Decelerating,0.000000,0.587237
Accumulating,0.000000,0.587237
Idle,389187.329898,0.587237
Blocked,3355399.770454,0.587237
Empty,0.000000,0.587237
Waiting for transporter,0.000000,0.587237
Breakdown,0.000000,0.587237
Down,0.000000,0.587237
Starved,0.000000,0.587237
Repair,0.000000,0.587237
Maintenance,0.000000,0.587237
Lunch,0.000000,0.587237
On break,0.000000,0.587237
Suspend,0.000000,0.587237
Available,0.000000,0.587237
Standby,0.000000,0.587237
Stopped,0.000000,0.587237
Waiting,0.000000,0.587237
