State,Time,Utilization
Processing,0.000000,0.372032
Busy,0.000000,0.372032
Generating,0.000000,0.372032
Collecting,0.000000,0.372032
Releasing,0.000000,0.372032
Conveying,0.000000,0.372032
Travel empty,648152.490783,0.372032
Travel loaded,1224625.307681,0.372032
Offset travel empty,0.000000,0.372032
Offset travel loaded,0.000000,0.372032
Loading,751228.356754,0.372032
Unloading,751068.482589,0.372032
Setup,0.000000,0.372032
Utilize,0.000000,0.372032
Full,0.000000,0.372032
Not empty,0.000000,0.372032
Filling,0.000000,0.372032
Mixing,0.000000,0.372032
Flowing,0.000000,0.372032
Allocated idle,0.000000,0.372032
Change over,0.000000,0.372032
Preprocessing,0.000000,0.372032
Postprocessing,0.000000,0.372032
Inspecting,0.000000,0.372032
Operating,0.000000,0.372032
Purging,0.000000,0.372032
Cleaning,0.000000,0.372032
Accelerating,0.000000,0.372032
Maxspeed,0.000000,0.372032
Decelerating,0.000000,0.372032
Accumulating,0.000000,0.372032
Idle,459281.429506,0.372032
Blocked,4979719.780602,0.372032
Empty,0.000000,0.372032
Waiting for operator,257924.152085,0.372032
Waiting for transporter,0.000000,0.372032
Breakdown,0.000000,0.372032
Down,0.000000,0.372032
Starved,0.000000,0.372032
Repair,0.000000,0.372032
Maintenance,0.000000,0.372032
Lunch,0.000000,0.372032
On break,0.000000,0.372032
Suspend,0.000000,0.372032
Available,0.000000,0.372032
Standby,0.000000,0.372032
Stopped,0.000000,0.372032
Waiting,0.000000,0.372032
