State,Time,Utilization
Processing,0.000000,0.400463
Busy,0.000000,0.400463
Generating,0.000000,0.400463
Collecting,0.000000,0.400463
Releasing,0.000000,0.400463
Parking,257924.152085,0.400463
Conveying,0.000000,0.400463
Travel empty,648152.490783,0.400463
Travel loaded,1224625.307681,0.400463
Offset travel empty,0.000000,0.400463
Offset travel loaded,0.000000,0.400463
Loading,751228.356754,0.400463
Unloading,751068.482589,0.400463
Setup,0.000000,0.400463
Utilize,0.000000,0.400463
Full,0.000000,0.400463
Not empty,0.000000,0.400463
Filling,0.000000,0.400463
Mixing,0.000000,0.400463
Flowing,0.000000,0.400463
Allocated idle,0.000000,0.400463
Change over,0.000000,0.400463
Preprocessing,0.000000,0.400463
Postprocessing,0.000000,0.400463
Inspecting,0.000000,0.400463
Operating,0.000000,0.400463
Purging,0.000000,0.400463
Cleaning,0.000000,0.400463
Accelerating,0.000000,0.400463
Maxspeed,0.000000,0.400463
Decelerating,0.000000,0.400463
Accumulating,0.000000,0.400463
Idle,459281.429506,0.400463
Blocked,4979719.780602,0.400463
Empty,0.000000,0.400463
Waiting for transporter,0.000000,0.400463
Breakdown,0.000000,0.400463
Down,0.000000,0.400463
Starved,0.000000,0.400463
Repair,0.000000,0.400463
Maintenance,0.000000,0.400463
Lunch,0.000000,0.400463
On break,0.000000,0.400463
Suspend,0.000000,0.400463
Available,0.000000,0.400463
Standby,0.000000,0.400463
Stopped,0.000000,0.400463
Waiting,0.000000,0.400463
