State,Time,Utilization
Processing,0.000000,0.445781
Busy,0.000000,0.445781
Generating,0.000000,0.445781
Collecting,0.000000,0.445781
Releasing,0.000000,0.445781
Parking,1940.000000,0.445781
Conveying,0.000000,0.445781
Travel empty,1596471.451742,0.445781
Travel loaded,1554280.088877,0.445781
Offset travel empty,0.000000,0.445781
Offset travel loaded,0.000000,0.445781
Loading,445745.071315,0.445781
Unloading,445684.885424,0.445781
Setup,0.000000,0.445781
Utilize,0.000000,0.445781
Full,0.000000,0.445781
Not empty,0.000000,0.445781
Filling,0.000000,0.445781
Mixing,0.000000,0.445781
Flowing,0.000000,0.445781
Allocated idle,0.000000,0.445781
Change over,0.000000,0.445781
Preprocessing,0.000000,0.445781
Postprocessing,0.000000,0.445781
Inspecting,0.000000,0.445781
Operating,0.000000,0.445781
Purging,0.000000,0.445781
Cleaning,0.000000,0.445781
Accelerating,0.000000,0.445781
Maxspeed,0.000000,0.445781
Decelerating,0.000000,0.445781
Accumulating,0.000000,0.445781
Idle,3026860.960708,0.445781
Blocked,2001017.541934,0.445781
Empty,0.000000,0.445781
Waiting for transporter,0.000000,0.445781
Breakdown,0.000000,0.445781
Down,0.000000,0.445781
Starved,0.000000,0.445781
Repair,0.000000,0.445781
Maintenance,0.000000,0.445781
Lunch,0.000000,0.445781
On break,0.000000,0.445781
Suspend,0.000000,0.445781
Available,0.000000,0.445781
Standby,0.000000,0.445781
Stopped,0.000000,0.445781
Waiting,0.000000,0.445781
