State,Time,Utilization
Processing,0.000000,0.544489
Busy,0.000000,0.544489
Generating,0.000000,0.544489
Collecting,0.000000,0.544489
Releasing,0.000000,0.544489
Parking,207400.000000,0.544489
Conveying,0.000000,0.544489
Travel empty,496976.581032,0.544489
Travel loaded,1086377.002089,0.544489
Offset travel empty,0.000000,0.544489
Offset travel loaded,0.000000,0.544489
Loading,751225.195723,0.544489
Unloading,751091.537863,0.544489
Setup,0.000000,0.544489
Utilize,0.000000,0.544489
Full,0.000000,0.544489
Not empty,0.000000,0.544489
Filling,0.000000,0.544489
Mixing,0.000000,0.544489
Flowing,0.000000,0.544489
Allocated idle,0.000000,0.544489
Change over,0.000000,0.544489
Preprocessing,0.000000,0.544489
Postprocessing,0.000000,0.544489
Inspecting,0.000000,0.544489
Operating,0.000000,0.544489
Purging,0.000000,0.544489
Cleaning,0.000000,0.544489
Accelerating,0.000000,0.544489
Maxspeed,0.000000,0.544489
Decelerating,0.000000,0.544489
Accumulating,0.000000,0.544489
Idle,431706.264568,0.544489
Blocked,2323223.418725,0.544489
Empty,0.000000,0.544489
Waiting for transporter,0.000000,0.544489
Breakdown,0.000000,0.544489
Down,0.000000,0.544489
Starved,0.000000,0.544489
Repair,0.000000,0.544489
Maintenance,0.000000,0.544489
Lunch,0.000000,0.544489
On break,0.000000,0.544489
Suspend,0.000000,0.544489
Available,0.000000,0.544489
Standby,0.000000,0.544489
Stopped,0.000000,0.544489
Waiting,0.000000,0.544489
