State,Time,Utilization
Processing,0.000000,0.612489
Busy,0.000000,0.612489
Generating,0.000000,0.612489
Collecting,0.000000,0.612489
Releasing,0.000000,0.612489
Parking,575182.015152,0.612489
Conveying,0.000000,0.612489
Travel empty,1147374.201988,0.612489
Travel loaded,1792103.833786,0.612489
Offset travel empty,0.000000,0.612489
Offset travel loaded,0.000000,0.612489
Loading,1021002.130016,0.612489
Unloading,1020839.883558,0.612489
Setup,0.000000,0.612489
Utilize,0.000000,0.612489
Full,0.000000,0.612489
Not empty,0.000000,0.612489
Filling,0.000000,0.612489
Mixing,0.000000,0.612489
Flowing,0.000000,0.612489
Allocated idle,0.000000,0.612489
Change over,0.000000,0.612489
Preprocessing,0.000000,0.612489
Postprocessing,0.000000,0.612489
Inspecting,0.000000,0.612489
Operating,0.000000,0.612489
Purging,0.000000,0.612489
Cleaning,0.000000,0.612489
Accelerating,0.000000,0.612489
Maxspeed,0.000000,0.612489
Decelerating,0.000000,0.612489
Accumulating,0.000000,0.612489
Idle,311666.846100,0.612489
Blocked,3203831.089400,0.612489
Empty,0.000000,0.612489
Waiting for transporter,0.000000,0.612489
Breakdown,0.000000,0.612489
Down,0.000000,0.612489
Starved,0.000000,0.612489
Repair,0.000000,0.612489
Maintenance,0.000000,0.612489
Lunch,0.000000,0.612489
On break,0.000000,0.612489
Suspend,0.000000,0.612489
Available,0.000000,0.612489
Standby,0.000000,0.612489
Stopped,0.000000,0.612489
Waiting,0.000000,0.612489
