State,Time,Utilization
Processing,0.000000,0.950711
Busy,0.000000,0.950711
Generating,0.000000,0.950711
Collecting,0.000000,0.950711
Releasing,0.000000,0.950711
Parking,173051.677616,0.950711
Conveying,0.000000,0.950711
Travel empty,558861.512392,0.950711
Travel loaded,986862.192337,0.950711
Offset travel empty,0.000000,0.950711
Offset travel loaded,0.000000,0.950711
Loading,578129.717298,0.950711
Unloading,578044.909318,0.950711
Setup,0.000000,0.950711
Utilize,0.000000,0.950711
Full,0.000000,0.950711
Not empty,0.000000,0.950711
Filling,0.000000,0.950711
Mixing,0.000000,0.950711
Flowing,0.000000,0.950711
Allocated idle,0.000000,0.950711
Change over,0.000000,0.950711
Preprocessing,0.000000,0.950711
Postprocessing,0.000000,0.950711
Inspecting,0.000000,0.950711
Operating,0.000000,0.950711
Purging,0.000000,0.950711
Cleaning,0.000000,0.950711
Accelerating,0.000000,0.950711
Maxspeed,0.000000,0.950711
Decelerating,0.000000,0.950711
Accumulating,0.000000,0.950711
Idle,106138.512571,0.950711
Blocked,42911.478468,0.950711
Empty,0.000000,0.950711
Waiting for transporter,0.000000,0.950711
Breakdown,0.000000,0.950711
Down,0.000000,0.950711
Starved,0.000000,0.950711
Repair,0.000000,0.950711
Maintenance,0.000000,0.950711
Lunch,0.000000,0.950711
On break,0.000000,0.950711
Suspend,0.000000,0.950711
Available,0.000000,0.950711
Standby,0.000000,0.950711
Stopped,0.000000,0.950711
Waiting,0.000000,0.950711
