State,Time,Utilization
Processing,0.000000,0.908529
Busy,0.000000,0.908529
Generating,0.000000,0.908529
Collecting,0.000000,0.908529
Releasing,0.000000,0.908529
Conveying,0.000000,0.908529
Travel empty,462153.936094,0.908529
Travel loaded,965487.675744,0.908529
Offset travel empty,0.000000,0.908529
Offset travel loaded,0.000000,0.908529
Loading,659920.000000,0.908529
Unloading,659830.000000,0.908529
Setup,0.000000,0.908529
Utilize,0.000000,0.908529
Full,0.000000,0.908529
Not empty,0.000000,0.908529
Filling,0.000000,0.908529
Mixing,0.000000,0.908529
Flowing,0.000000,0.908529
Allocated idle,0.000000,0.908529
Change over,0.000000,0.908529
Preprocessing,0.000000,0.908529
Postprocessing,0.000000,0.908529
Inspecting,0.000000,0.908529
Operating,0.000000,0.908529
Purging,0.000000,0.908529
Cleaning,0.000000,0.908529
Accelerating,0.000000,0.908529
Maxspeed,0.000000,0.908529
Decelerating,0.000000,0.908529
Accumulating,0.000000,0.908529
Idle,108767.225185,0.908529
Blocked,91172.362388,0.908529
Empty,0.000000,0.908529
Waiting for operator,76668.800589,0.908529
Waiting for transporter,0.000000,0.908529
Breakdown,0.000000,0.908529
Down,0.000000,0.908529
Starved,0.000000,0.908529
Repair,0.000000,0.908529
Maintenance,0.000000,0.908529
Lunch,0.000000,0.908529
On break,0.000000,0.908529
Suspend,0.000000,0.908529
Available,0.000000,0.908529
Standby,0.000000,0.908529
Stopped,0.000000,0.908529
Waiting,0.000000,0.908529
