Interval,Duration
Waiting Time,1670.139019
Waiting Time,1680.139019
Waiting Time,1690.139019
Waiting Time,1514.372887
Waiting Time,1603.232599
Waiting Time,1575.931082
Waiting Time,1582.150913
Waiting Time,1821.728777
Waiting Time,1878.917028
Waiting Time,1888.917028
Waiting Time,1696.785124
Waiting Time,1706.785124
Waiting Time,1541.197735
Waiting Time,1890.327089
Waiting Time,1900.327089
Waiting Time,1629.511829
Waiting Time,1639.511829
Waiting Time,1649.511829
Waiting Time,1659.511829
Waiting Time,1909.396612
Waiting Time,2006.542665
Waiting Time,1794.464508
Waiting Time,1943.536594
Waiting Time,1691.762835
Waiting Time,1953.536594
Waiting Time,2034.042370
Waiting Time,1829.441467
Waiting Time,1903.959164
Waiting Time,1629.101616
Waiting Time,1835.661299
Waiting Time,1738.371775
Waiting Time,1589.562735
Waiting Time,1876.050407
Waiting Time,2011.730906
Waiting Time,1915.741447
Waiting Time,1716.015774
Waiting Time,1826.438948
Waiting Time,2026.377224
Waiting Time,1913.911812
Waiting Time,1766.975855
Waiting Time,1860.789835
Waiting Time,1979.108128
Waiting Time,1622.337210
Waiting Time,1993.616728
Waiting Time,1584.113352
Waiting Time,1690.193037
Waiting Time,1801.784212
Waiting Time,2023.782885
Waiting Time,1656.690704
Waiting Time,1517.372839
Waiting Time,1666.690704
Waiting Time,1770.442251
Waiting Time,1844.334627
Waiting Time,1639.143236
Waiting Time,1897.999022
Waiting Time,1768.729137
Waiting Time,1818.310001
Waiting Time,1937.352516
Waiting Time,1886.165831
Waiting Time,1706.589123
Waiting Time,1601.808908
Waiting Time,1971.738508
Waiting Time,1555.444210
Waiting Time,1940.839909
Waiting Time,1736.130848
Waiting Time,1824.301788
Waiting Time,1746.130848
Waiting Time,1719.856297
Waiting Time,1834.301788
Waiting Time,1756.130848
Waiting Time,1984.816248
Waiting Time,1913.310135
Waiting Time,2052.672077
Waiting Time,1688.082422
Waiting Time,2062.672077
Waiting Time,1594.895679
Waiting Time,1604.895679
Waiting Time,1801.671400
Waiting Time,1717.845095
Waiting Time,1802.422724
Waiting Time,1653.181669
Waiting Time,1410.109085
Waiting Time,2046.211695
Waiting Time,1693.732140
Waiting Time,2039.792286
Waiting Time,1763.645710
Waiting Time,2057.362894
Waiting Time,1773.645710
Waiting Time,1738.948441
Waiting Time,2077.981352
Waiting Time,2132.337938
Waiting Time,2188.562174
Waiting Time,2143.910685
Waiting Time,1607.372423
Waiting Time,2090.450632
Waiting Time,1949.251209
Waiting Time,2080.375519
Waiting Time,1959.251209
Waiting Time,1775.473795
Waiting Time,1785.473795
Waiting Time,2112.021242
Waiting Time,1688.883371
Waiting Time,2065.656546
Waiting Time,1913.678480
Waiting Time,1829.915194
Waiting Time,1923.678480
Waiting Time,1933.678480
Waiting Time,1733.324768
Waiting Time,1943.678480
Waiting Time,2116.627205
Waiting Time,1802.739588
Waiting Time,1812.739588
Waiting Time,1592.947414
Waiting Time,1943.165846
Waiting Time,1846.575420
Waiting Time,1629.177563
Waiting Time,1862.557438
Waiting Time,1872.557438
Waiting Time,1667.366631
Waiting Time,2214.187670
Waiting Time,1926.498632
Waiting Time,1906.623249
Waiting Time,1916.623249
Waiting Time,2049.158722
Waiting Time,1936.146465
Waiting Time,1672.799072
Waiting Time,1682.799072
Waiting Time,1640.799072
Waiting Time,1650.799072
Waiting Time,19.251892
Waiting Time,2031.887487
Waiting Time,1852.418060
Waiting Time,1420.745836
Waiting Time,1862.418060
Waiting Time,1922.254356
Waiting Time,1932.254356
Waiting Time,1603.559967
Waiting Time,1705.934793
Waiting Time,1942.254356
Waiting Time,1890.607128
Waiting Time,1460.064283
Waiting Time,1505.678862
Waiting Time,1965.921282
Waiting Time,1470.064283
Waiting Time,1975.921282
Waiting Time,1805.807878
Waiting Time,1920.610573
Waiting Time,1660.968653
Waiting Time,1886.537058
Waiting Time,1734.344999
Waiting Time,1515.286850
Waiting Time,1695.322147
Waiting Time,1926.964758
Waiting Time,1826.954998
Waiting Time,1625.367712
Waiting Time,2040.299423
Waiting Time,1574.870161
Waiting Time,1584.870161
Waiting Time,1660.468815
Waiting Time,1674.417324
Waiting Time,2019.457748
Waiting Time,2029.457748
Waiting Time,1718.688589
Waiting Time,2092.002857
Waiting Time,1837.398451
Waiting Time,1848.481962
Waiting Time,1928.628996
Waiting Time,1627.498144
Waiting Time,2143.935797
Waiting Time,2165.963427
Waiting Time,1729.377203
Waiting Time,1985.741451
Waiting Time,2124.274084
Waiting Time,1690.043697
Waiting Time,2189.453718
Waiting Time,1757.566269
Waiting Time,2206.852810
Waiting Time,2033.291656
Waiting Time,2167.829958
Waiting Time,1952.984695
Waiting Time,1796.919765
Waiting Time,1745.064383
Waiting Time,1962.984695
Waiting Time,1972.984695
Waiting Time,1795.544758
Waiting Time,1871.898252
Waiting Time,1615.202892
Waiting Time,1625.202892
Waiting Time,1862.657213
Waiting Time,1653.179182
Waiting Time,1663.179182
Waiting Time,1965.392464
Waiting Time,1708.697104
Waiting Time,2267.902985
Waiting Time,1645.580519
Waiting Time,1655.580519
Waiting Time,1665.580519
Waiting Time,1571.972425
Waiting Time,1581.972425
Waiting Time,1591.972425
Waiting Time,1586.632864
Waiting Time,1755.329437
Waiting Time,1765.329437
Waiting Time,1759.989878
Waiting Time,1769.989878
Waiting Time,2041.952869
Waiting Time,2051.952869
Waiting Time,1667.157339
Waiting Time,3297.834278
Waiting Time,1638.157339
Waiting Time,1454.723743
Waiting Time,1701.510834
Waiting Time,1606.120838
Waiting Time,1711.510834
Waiting Time,1489.109735
Waiting Time,1311.125731
Waiting Time,1694.762085
Waiting Time,857.606598
Waiting Time,2123.951200
Waiting Time,1616.419245
Waiting Time,2133.951200
Waiting Time,1438.435240
Waiting Time,160.036621
Waiting Time,1466.624308
Waiting Time,282.474346
Waiting Time,292.474346
Waiting Time,1975.152483
Waiting Time,1599.062033
Waiting Time,2029.582476
Waiting Time,1985.152483
Waiting Time,1811.402893
Waiting Time,2000.582476
Waiting Time,2048.505980
Waiting Time,1821.402893
Waiting Time,168.003151
Waiting Time,178.003151
Waiting Time,826.707800
Waiting Time,1036.375668
Waiting Time,1046.375668
Waiting Time,69.603319
Waiting Time,902.850180
Waiting Time,1628.177288
Waiting Time,1638.177288
Waiting Time,1274.289013
Waiting Time,1648.177288
Waiting Time,1284.289013
Waiting Time,1658.177288
Waiting Time,1720.894310
Waiting Time,1730.894310
Waiting Time,1784.078884
Waiting Time,1536.324104
Waiting Time,1546.324104
Waiting Time,1345.585579
Waiting Time,1406.624340
Waiting Time,1421.117893
Waiting Time,1435.611244
Waiting Time,1327.885742
Waiting Time,1628.254707
Waiting Time,1636.882174
Waiting Time,1968.355745
Waiting Time,1651.388065
Waiting Time,511.477774
Waiting Time,1978.355745
Waiting Time,1988.355745
Waiting Time,271.820009
Waiting Time,1476.774776
Waiting Time,1532.057056
Waiting Time,1516.057056
Waiting Time,772.166473
Waiting Time,1576.451303
Waiting Time,388.906418
Waiting Time,1807.777216
Waiting Time,1822.283108
Waiting Time,1836.791208
Waiting Time,1442.026045
Waiting Time,1514.322565
Waiting Time,1578.641392
Waiting Time,1706.154459
Waiting Time,1596.158562
Waiting Time,1668.782520
Waiting Time,111.717894
Waiting Time,1694.099899
Waiting Time,1741.411442
Waiting Time,1736.706129
Waiting Time,1740.264860
Waiting Time,1802.394217
Waiting Time,191.670847
Waiting Time,1651.220448
Waiting Time,1559.469128
Waiting Time,2031.120142
Waiting Time,1806.999254
Waiting Time,1049.987902
Waiting Time,1625.214552
Waiting Time,2007.493275
Waiting Time,1857.854141
Waiting Time,1792.111414
Waiting Time,1802.111414
Waiting Time,1776.688795
Waiting Time,1548.279840
Waiting Time,1951.158247
Waiting Time,10.000000
Waiting Time,1558.279840
Waiting Time,1961.158247
Waiting Time,1568.279840
Waiting Time,1719.105909
Waiting Time,10.000000
Waiting Time,15.751816
Waiting Time,1852.961836
Waiting Time,1778.208450
Waiting Time,1870.535044
Waiting Time,1643.799419
Waiting Time,1653.799419
Waiting Time,1663.799419
Waiting Time,1673.799419
Waiting Time,2009.513939
Waiting Time,1588.976738
Waiting Time,2131.279270
Waiting Time,2032.099279
Waiting Time,1627.609970
Waiting Time,1776.081221
Waiting Time,2060.288347
Waiting Time,2070.288347
Waiting Time,1936.065636
Waiting Time,1582.142033
Waiting Time,1953.667036
Waiting Time,1592.142033
Waiting Time,1920.192642
Waiting Time,289.644171
Waiting Time,1902.473560
Waiting Time,1546.310169
Waiting Time,1782.383583
Waiting Time,199.850380
Waiting Time,629.921190
Waiting Time,1955.353205
Waiting Time,646.765915
Waiting Time,1533.830059
Waiting Time,313.166018
Waiting Time,1989.706699
