Interval,Duration
Waiting Time,1675.309813
Waiting Time,1685.309813
Waiting Time,1695.309813
Waiting Time,1228.750118
Waiting Time,1467.183083
Waiting Time,1873.465376
Waiting Time,1930.653627
Waiting Time,1940.653627
Waiting Time,1585.204891
Waiting Time,1707.033560
Waiting Time,1934.334246
Waiting Time,1948.827797
Waiting Time,1749.857719
Waiting Time,1354.191273
Waiting Time,1996.951813
Waiting Time,1522.960590
Waiting Time,1592.011057
Waiting Time,2037.472342
Waiting Time,1545.266085
Waiting Time,1635.352842
Waiting Time,1736.715147
Waiting Time,1637.117357
Waiting Time,1582.364950
Waiting Time,1683.653090
Waiting Time,1616.649837
Waiting Time,1852.228540
Waiting Time,1446.188831
Waiting Time,1886.503080
Waiting Time,1896.503080
Waiting Time,1906.503080
Waiting Time,1578.156172
Waiting Time,1575.156172
Waiting Time,1791.212645
Waiting Time,1957.013668
Waiting Time,2015.470421
Waiting Time,1971.505161
Waiting Time,1626.564724
Waiting Time,2089.371038
Waiting Time,1895.435484
Waiting Time,1623.564722
Waiting Time,1816.459194
Waiting Time,1702.802620
Waiting Time,1705.681519
Waiting Time,2123.692841
Waiting Time,1715.681519
Waiting Time,1908.302744
Waiting Time,1922.713713
Waiting Time,2033.469526
Waiting Time,1941.416624
Waiting Time,1667.857773
Waiting Time,1973.907972
Waiting Time,1726.802359
Waiting Time,1587.412874
Waiting Time,1937.452288
Waiting Time,1586.744434
Waiting Time,1820.490116
Waiting Time,1781.601259
Waiting Time,1596.744434
Waiting Time,1606.744434
Waiting Time,1840.395718
Waiting Time,1977.967602
Waiting Time,1805.498413
Waiting Time,1759.708731
Waiting Time,1860.884607
Waiting Time,1774.220694
Waiting Time,1784.220694
Waiting Time,2029.303246
Waiting Time,1863.229038
Waiting Time,2026.303246
Waiting Time,1490.175659
Waiting Time,1745.796131
Waiting Time,1525.039297
Waiting Time,1755.796131
Waiting Time,1535.039297
Waiting Time,1712.513397
Waiting Time,1926.569563
Waiting Time,1792.000809
Waiting Time,1659.405964
Waiting Time,2056.873863
Waiting Time,2072.673838
Waiting Time,2070.844286
Waiting Time,2048.232872
Waiting Time,1716.533012
Waiting Time,1833.015535
Waiting Time,2052.579525
Waiting Time,1731.010118
Waiting Time,2069.268465
Waiting Time,1843.015535
Waiting Time,1696.630180
Waiting Time,1478.309975
Waiting Time,2080.361832
Waiting Time,2041.626602
Waiting Time,2075.991596
Waiting Time,1940.972349
Waiting Time,1495.529459
Waiting Time,1940.303907
Waiting Time,1505.529459
Waiting Time,2031.147881
Waiting Time,15.750462
Waiting Time,1656.952011
Waiting Time,25.750462
Waiting Time,1666.952011
Waiting Time,45.256355
Waiting Time,2014.445599
Waiting Time,2024.445599
Waiting Time,1992.333422
Waiting Time,1957.953484
Waiting Time,1967.953484
Waiting Time,1740.650511
Waiting Time,1563.248829
Waiting Time,2036.719465
Waiting Time,1750.650511
Waiting Time,1573.248829
Waiting Time,1771.426241
Waiting Time,1386.860523
Waiting Time,1788.004004
Waiting Time,1798.004004
Waiting Time,1601.437897
Waiting Time,1873.513474
Waiting Time,1850.738787
Waiting Time,1711.042252
Waiting Time,1827.984322
Waiting Time,1729.761457
Waiting Time,1904.679981
Waiting Time,1714.597752
Waiting Time,1973.652533
Waiting Time,1862.325958
Waiting Time,1988.136236
Waiting Time,1706.702204
Waiting Time,1426.833681
Waiting Time,1784.349419
Waiting Time,1637.017574
Waiting Time,1769.295605
Waiting Time,1977.987148
Waiting Time,2039.744400
Waiting Time,1736.503269
Waiting Time,2284.716381
Waiting Time,1518.098719
Waiting Time,2074.058765
Waiting Time,2084.058765
Waiting Time,1859.990049
Waiting Time,2028.777393
Waiting Time,2094.058765
Waiting Time,2038.777393
Waiting Time,1546.287786
Waiting Time,1888.179117
Waiting Time,1724.907982
Waiting Time,1560.785658
Waiting Time,2073.119028
Waiting Time,1574.734167
Waiting Time,1922.856556
Waiting Time,1759.249619
Waiting Time,1536.577866
Waiting Time,1546.577866
Waiting Time,2000.503771
Waiting Time,1629.400999
Waiting Time,1656.215157
Waiting Time,1879.865860
Waiting Time,2067.893064
Waiting Time,1721.671515
Waiting Time,1940.417345
Waiting Time,1925.383781
Waiting Time,2047.335466
Waiting Time,1538.962030
Waiting Time,1733.484343
Waiting Time,1619.798450
Waiting Time,1823.306549
Waiting Time,1613.374281
Waiting Time,1680.915562
Waiting Time,1853.196222
Waiting Time,2054.672142
Waiting Time,1580.838102
Waiting Time,2064.672142
Waiting Time,2056.908489
Waiting Time,1837.533695
Waiting Time,2066.908489
Waiting Time,142.043581
Waiting Time,1567.597027
Waiting Time,2076.908489
Waiting Time,1577.597027
Waiting Time,1621.453281
Waiting Time,1484.504868
Waiting Time,1534.846500
Waiting Time,48.418842
Waiting Time,58.418842
Waiting Time,1963.514269
Waiting Time,1693.577602
Waiting Time,2025.510424
Waiting Time,1997.938900
Waiting Time,1757.794878
Waiting Time,1727.899384
Waiting Time,319.000355
Waiting Time,1585.717142
Waiting Time,1936.422054
Waiting Time,24.129288
Waiting Time,1889.939129
Waiting Time,57.112455
Waiting Time,1910.167898
Waiting Time,1655.523615
Waiting Time,1924.474751
Waiting Time,1993.293806
Waiting Time,814.085812
Waiting Time,2010.834145
Waiting Time,1555.657740
Waiting Time,1604.706186
Waiting Time,1565.657740
Waiting Time,851.370808
Waiting Time,1614.706186
Waiting Time,1634.212620
Waiting Time,1305.012075
Waiting Time,339.049868
Waiting Time,1853.666594
Waiting Time,1566.358301
Waiting Time,1868.157875
Waiting Time,1576.358301
Waiting Time,1886.493145
Waiting Time,1478.708426
Waiting Time,1541.210356
Waiting Time,1870.493147
Waiting Time,1884.971849
Waiting Time,1920.834780
Waiting Time,1525.587749
Waiting Time,1904.834782
Waiting Time,1535.587749
Waiting Time,1550.066702
Waiting Time,34.529739
Waiting Time,1480.623289
Waiting Time,1394.283880
Waiting Time,1490.623289
Waiting Time,1994.127676
Waiting Time,115.740057
Waiting Time,125.740057
Waiting Time,2008.435293
Waiting Time,1934.856335
Waiting Time,1944.856335
Waiting Time,169.274221
Waiting Time,104.577482
Waiting Time,2038.481171
Waiting Time,1555.001108
Waiting Time,2281.641466
Waiting Time,145.743969
Waiting Time,1387.224747
Waiting Time,1922.169817
Waiting Time,1272.247368
Waiting Time,1397.224747
Waiting Time,1887.021872
Waiting Time,289.501648
Waiting Time,1897.021872
Waiting Time,1907.021872
Waiting Time,1150.852434
Waiting Time,1323.095928
Waiting Time,770.432428
Waiting Time,1521.616760
Waiting Time,351.558325
Waiting Time,1531.616760
Waiting Time,1572.942884
Waiting Time,1032.359406
Waiting Time,1809.667089
Waiting Time,1607.717060
Waiting Time,1751.033873
Waiting Time,1178.892878
Waiting Time,1649.793783
Waiting Time,1453.296875
Waiting Time,1811.856991
Waiting Time,2189.365494
Waiting Time,557.109089
Waiting Time,1380.593019
Waiting Time,1395.015156
Waiting Time,1572.924334
Waiting Time,2103.824703
Waiting Time,1689.080999
Waiting Time,1587.162233
Waiting Time,1860.758133
Waiting Time,1576.060246
Waiting Time,2234.889248
Waiting Time,575.961359
Waiting Time,1870.758133
Waiting Time,1187.637651
Waiting Time,1449.201019
Waiting Time,2199.741302
Waiting Time,619.495523
Waiting Time,74.367485
Waiting Time,1751.738478
Waiting Time,1307.780369
Waiting Time,634.004124
Waiting Time,84.367485
Waiting Time,26.653442
Waiting Time,1582.184368
Waiting Time,73.627722
Waiting Time,765.155834
Waiting Time,66.446041
Waiting Time,1623.680117
Waiting Time,229.576874
Waiting Time,1901.198584
Waiting Time,1911.198584
Waiting Time,1365.004189
Waiting Time,1713.913399
Waiting Time,1379.538448
Waiting Time,1428.433958
Waiting Time,1399.357683
Waiting Time,1799.416513
Waiting Time,1423.313494
Waiting Time,1399.167778
Waiting Time,1417.620005
Waiting Time,1542.731047
Waiting Time,1716.141010
Waiting Time,133.563898
Waiting Time,1870.799234
Waiting Time,1461.722645
Waiting Time,1557.425844
Waiting Time,438.958891
Waiting Time,1778.695877
Waiting Time,1788.695877
Waiting Time,400.916351
Waiting Time,1081.761745
Waiting Time,1571.194803
Waiting Time,1531.561762
Waiting Time,1664.072674
Waiting Time,35.046144
Waiting Time,1759.401226
Waiting Time,1674.072674
Waiting Time,53.949537
Waiting Time,1773.883886
Waiting Time,1604.101650
Waiting Time,68.432657
Waiting Time,1765.434887
Waiting Time,1680.424276
Waiting Time,2062.368311
Waiting Time,1725.471258
Waiting Time,1992.665819
Waiting Time,1213.684267
Waiting Time,1695.459251
Waiting Time,1287.293755
