State,Time,Utilization
Processing,0.000000,0.611696
Busy,0.000000,0.611696
Generating,0.000000,0.611696
Collecting,0.000000,0.611696
Releasing,0.000000,0.611696
Conveying,0.000000,0.611696
Travel empty,456896.445161,0.611696
Travel loaded,685010.914837,0.611696
Offset travel empty,0.000000,0.611696
Offset travel loaded,0.000000,0.611696
Loading,353940.000000,0.611696
Unloading,353920.000000,0.611696
Setup,0.000000,0.611696
Utilize,0.000000,0.611696
Full,0.000000,0.611696
Not empty,0.000000,0.611696
Filling,0.000000,0.611696
Mixing,0.000000,0.611696
Flowing,0.000000,0.611696
Allocated idle,0.000000,0.611696
Change over,0.000000,0.611696
Preprocessing,0.000000,0.611696
Postprocessing,0.000000,0.611696
Inspecting,0.000000,0.611696
Operating,0.000000,0.611696
Purging,0.000000,0.611696
Cleaning,0.000000,0.611696
Accelerating,0.000000,0.611696
Maxspeed,0.000000,0.611696
Decelerating,0.000000,0.611696
Accumulating,0.000000,0.611696
Idle,852418.364264,0.611696
Blocked,319704.275738,0.611696
Empty,0.000000,0.611696
Waiting for operator,2110.000000,0.611696
Waiting for transporter,0.000000,0.611696
Breakdown,0.000000,0.611696
Down,0.000000,0.611696
Starved,0.000000,0.611696
Repair,0.000000,0.611696
Maintenance,0.000000,0.611696
Lunch,0.000000,0.611696
On break,0.000000,0.611696
Suspend,0.000000,0.611696
Available,0.000000,0.611696
Standby,0.000000,0.611696
Stopped,0.000000,0.611696
Waiting,0.000000,0.611696
