State,Time,Utilization
Processing,0.000000,0.682143
Busy,0.000000,0.682143
Generating,0.000000,0.682143
Collecting,0.000000,0.682143
Releasing,0.000000,0.682143
Conveying,0.000000,0.682143
Travel empty,1577120.179005,0.682143
Travel loaded,1536034.717730,0.682143
Offset travel empty,0.000000,0.682143
Offset travel loaded,0.000000,0.682143
Loading,506232.779346,0.682143
Unloading,506214.706642,0.682143
Setup,0.000000,0.682143
Utilize,0.000000,0.682143
Full,0.000000,0.682143
Not empty,0.000000,0.682143
Filling,0.000000,0.682143
Mixing,0.000000,0.682143
Flowing,0.000000,0.682143
Allocated idle,0.000000,0.682143
Change over,0.000000,0.682143
Preprocessing,0.000000,0.682143
Postprocessing,0.000000,0.682143
Inspecting,0.000000,0.682143
Operating,0.000000,0.682143
Purging,0.000000,0.682143
Cleaning,0.000000,0.682143
Accelerating,0.000000,0.682143
Maxspeed,0.000000,0.682143
Decelerating,0.000000,0.682143
Accumulating,0.000000,0.682143
Idle,1001674.972790,0.682143
Blocked,919952.644488,0.682143
Empty,0.000000,0.682143
Waiting for operator,770.000000,0.682143
Waiting for transporter,0.000000,0.682143
Breakdown,0.000000,0.682143
Down,0.000000,0.682143
Starved,0.000000,0.682143
Repair,0.000000,0.682143
Maintenance,0.000000,0.682143
Lunch,0.000000,0.682143
On break,0.000000,0.682143
Suspend,0.000000,0.682143
Available,0.000000,0.682143
Standby,0.000000,0.682143
Stopped,0.000000,0.682143
Waiting,0.000000,0.682143
